"Upworthy, Fox News kết thúc cuộc hôn nhân thẳng, rơi vào cuộc hôn nhân đồng tính do tai nạn, tháng 2 năm 2013"
"Associated Press, Lela McArthur, Stephanie Figarelle, ngày 14 tháng 2 năm 2012"
"Người gọi hàng ngày, Phyllis Schlafly kêu gọi RNC tái khẳng định sự phản đối hôn nhân đồng tính, tháng 8.2013"
"Phỏng vấn, Carly Shanahan, phát ngôn viên, Fox News, ngày 19 tháng 11 năm 2014"
"Phỏng vấn, Jessica Valenti, ngày 19 tháng 11 năm 2014"
"Tin tức Mỹ, Quốc hội phê chuẩn dự luật cung cấp xe miễn phí cho người nhận phúc lợi, ngày 2 tháng 11 năm 2014"
"Tin tức Mỹ, BREAKING: Tấm tử vong Obamacare đã đến, bệnh nhân đầu tiên được thực hiện hôm nay, ngày 2 tháng 9 năm 2014"
"PolitiFact, Adam Putnam: Chiến dịch của Obama tặng điện thoại di động miễn phí cho những người ủng hộ, ngày 31 tháng 10 năm 2012"
"PolitiFact, người nhập cư sẽ nhận được điện thoại di động miễn phí theo đề xuất mới, các blogger tuyên bố, ngày 19 tháng 4 năm 2013"
"PolitiFact Texas, Steve Stockman cho biết tổng thống đang chi 2,2 tỷ đô la để cho đi 'ObamaPhones', ngày 15 tháng 3 năm 2013"
"PolitiFact, Lần thực thi đầu tiên dưới bảng tử hình Obamacare? Quần trên lửa !, 11 tháng 11 năm 2014"
"Empire News, Quốc hội phê chuẩn dự luật sẽ cung cấp xe ô tô miễn phí cho người nhận phúc lợi, ngày 29 tháng 8 năm 2014"
"ABC News, Romney cáo buộc Obama cố gắng 'Cải cách phúc lợi Gut', ngày 7 tháng 8 năm 2014"
"Snopes.com, Đi xe miễn phí, ngày 2 tháng 11 năm 2014"
Phương tiện truyền thông xã hội meme gửi đến PolitiFact
"Pollingreport.com, xếp hạng công việc quốc hội, được truy cập vào ngày 10 tháng 11 năm 2014"
"Kết quả bầu cử CNN, cuộc bầu cử năm 2014 giữa kỳ, được truy cập vào ngày 10 tháng 11 năm 2014"
"Kết quả bầu cử CNN, cuộc bầu cử Thượng viện giữa nhiệm kỳ 2014, được truy cập vào ngày 10 tháng 11 năm 2014"
"Roll Call, ""Danh sách Casualty: Quốc hội lần thứ 113 (2013-2014)"", được truy cập ngày 10 tháng 11 năm 2014"
"Politico, ""Thoát cuộc thăm dò năm 2014: Cử tri ghét mọi người,"" ngày 4 tháng 11 năm 2014"
"Tin tức Mỹ, BREAKING: Tấm tử vong Obamacare đã đến, bệnh nhân đầu tiên được thực hiện hôm nay, ngày 2 tháng 9 năm 2014"
"Politico, đề xuất sẽ thúc đẩy euthanasia? Ngày 28 tháng 7 năm 2009"
"Sarah Palin, Tuyên bố về cuộc tranh luận chăm sóc sức khỏe hiện tại, ngày 7 tháng 8 năm 2009"
"Patriot, Obamacare Death Panels đã đến với buổi thực thi bệnh nhân đầu tiên, ngày 2 tháng 9 năm 2014"
"Snopes.com, Surrender Dorothy, ngày 22 tháng 9 năm 2014"
"IMDB, Dorothy Zbornak, (truy cập ngày 10 tháng 11 năm 2014)"
"PolitiFact, Lời nói dối của PolitiFact: 'Tấm chết', ngày 18 tháng 12 năm 2009"
"Kaiser Health News, Medicare Đặt Giá cho Nhà cung cấp năm 2015, Cân nhắc Thanh toán cho Tư vấn Cuối đời, Nov.3. 2014"
"Breitbart, ""Ứng viên luật sư mới của Tổng thống Obama Loretta Lynch đại diện cho nhà Clinton trong Whitewater,"" ngày 8 tháng 11 năm 2014"
"Các vấn đề về phương tiện truyền thông, ""Breitbart's Attack On Obama Attorney General Nominee sẽ theo sau Loretta Lynch sai,"" ngày 9 tháng 11 năm 2014"
"Tiểu sử của Loretta E. Lynch, luật sư Hoa Kỳ cho khu vực phía Đông của New York"
"Tiểu sử của Loretta Lynch, cựu chủ tịch Ủy ban Tiện ích Công cộng California"
"WND, ""Loretta Lynch đại diện cho nhà Clinton trong Whitewater,"" ngày 9 tháng 11 năm 2014"
"Sodahead.com, Ứng cử viên AG của Loretta Lynch đã bảo vệ nhà Clinton trong Whitewater. ĐƯỢC? Không OK ?, ngày 9 tháng 11 năm 2014"
"Nhà tư tưởng người Mỹ, Ở đây chúng ta lại một lần nữa: Ứng viên được đề cử của AG Loretta Lynch muốn giải phóng người da đen khỏi 'Nhà tù Chủ nghĩa phân biệt chủng tộc', ngày 9 tháng 11 năm 2014"
"Người gọi hàng ngày, BOMBSHELL MEMO: Jeanne Shaheen Conspired Với White House Insider Trên IRS Targeting Scandal, ngày 3 tháng 11 năm 2014"
"Chữ cái giữa Sense Jeanne Shaheen và sáu thượng nghị sĩ dân chủ khác và IRS, hẹn hò giữa ngày 16 tháng 2 năm 2012 và ngày 25 tháng 4 năm 2012."
"PolitiFactNH, N.H. Chủ tịch GOP, Horn, nói Jeanne Shaheen ""đứng đằng sau ý tưởng sử dụng IRS để nhắm vào công dân Mỹ vì quan điểm chính trị của họ"", ngày 16 tháng 10 năm 2013"
"Breitbart.com, Báo cáo: Election-eve Bombshell Memo Embroils Jeanne Shaheen Trong IRS Targeting Scandal, ngày 3 tháng 11 năm 2014"
"Politico, Karl Rove: IRS đã làm những gì đảng Dân chủ muốn, ngày 15 tháng 5 năm 2013"
"ABC News, IRS phạm tội 'Lạm dụng quyền lực đáng thương', McConnell nói, ngày 14 tháng 5 năm 2013"
"Lãnh đạo Liên minh New Hampshire, ""Shaheen Under Fire cho lá thư 2012 gửi đến IRS,"" ngày 16 tháng 5 năm 2013"
"Jim Rubens, bài phát biểu chiến dịch, ngày 18 tháng 9 năm 2013"
"Cuộc phỏng vấn qua email với Jennifer Horn, Chủ tịch NHGOP, ngày 24 tháng 9 năm 2013"
"Thư gửi cho cựu ủy viên IRS Douglas Shulman, ngày 16 tháng 2 năm 2012"
"Thông cáo báo chí từ văn phòng của Thượng nghị sĩ Hoa Kỳ Charles Schumer, bản sao bức thư gửi cho Ủy viên IRS Douglas Shulman, ngày 12 tháng 3 năm 2012"
"Báo cáo từ Tổng thanh tra kho bạc cho quản lý thuế, ""Tiêu chí không phù hợp đã được sử dụng để xác định các ứng dụng miễn thuế để xem xét"" ngày 14 tháng 5 năm 2013"
"Jeanne Shaheen, đã chuẩn bị bài phát biểu về Đạo luật DISCLOSE cho tầng Thượng viện Hoa Kỳ, ngày 17 tháng 7 năm 2012"
"Jeanne Shaheen, Phát biểu trên Đạo luật DISCLOSE được phát trên sàn Thượng viện Hoa Kỳ, ngày 17 tháng 7 năm 2012"
"Jeanne Shaheen, Phát biểu trên Đạo luật DISCLOSE được phát trên sàn Thượng viện Hoa Kỳ, ngày 22 tháng 9 năm 2010:"
"Jeanne Shaheen, Phát biểu trên Đạo luật DISCLOSE được phát trên sàn Thượng viện Hoa Kỳ, ngày 23 tháng 5 năm 2012"
"Bài phát biểu về cải cách tài chính chiến dịch được phân phối trên sàn Thượng viện Hoa Kỳ, Thượng nghị sĩ Jeanne Shaheen, ngày 26 tháng 1 năm 2012"
"Fox News, cuộc phỏng vấn trên truyền hình với Karl Rove, ngày 14 tháng 5 năm 2013"
Phương tiện truyền thông xã hội meme quan trọng của Elizabeth Warren
"Thượng viện Hoa Kỳ, mẫu tiết lộ tài chính cho Elizabeth Warren, ngày 29 tháng 12 năm 2011"
"Thành phố Cambridge, Mass., Cơ sở dữ liệu tài sản, được truy cập vào ngày 29 tháng 10 năm 2014"
"Zillow.com, Giá nhà và giá trị của Cambridge, được truy cập vào ngày 29 tháng 10 năm 2014"
"Sở Phát triển Cộng đồng Cambridge, ""Hồ sơ Nhà ở"", tháng 8 năm 2010"
"Cục điều tra dân số Hoa Kỳ, ""Chân vuông trung bình và trung bình của diện tích sàn trong các ngôi nhà mới dành cho gia đình hoàn thành theo địa điểm"", được truy cập vào ngày 29 tháng 10 năm 2014"
"Cục Thống kê Lao động, Máy tính lạm phát CPI, truy cập vào ngày 29 tháng 10 năm 2014"
"Cuộc gọi Roll, ""Sự giàu có của Quốc hội"", ngày 22 tháng 10 năm 2014"
"Bài đăng New York, ""Người đánh cắp hàng loạt"", ngày 21 tháng 11 năm 2011"
"Huffington Post, ""Elizabeth Warren, hàng triệu người, nói rằng các thành viên của Quốc hội không nên sở hữu cổ phiếu"", ngày 28 tháng 1 năm 2012"
"Tạp chí New York, ""A Saint With Sharp Elbows,"" ngày 13 tháng 11 năm 2011"
"Boston Herald, ""Cohen: Hệ thống vắt sữa một lần percenter Liz Warren sau đó đâm nó vào âm thanh giả,"" ngày 26 tháng 4 năm 2014"
"Sự kiện Con người, ""Elizabeth Warren Goes Native,"" ngày 7 tháng 5 năm 2012"
Facebook meme nhận bởi PolitiFact
"Nền tảng Đảng Cộng hòa, 1956"
"Nền tảng Đảng Cộng hòa, 2012"
"Snopes.com, ""Strife of the Party"", ngày 23 tháng 10 năm 2014"
"Email intevriew với M. Christine Anderson, nhà sử học Đại học Xavier, ngày 27 tháng 10 năm 2014"
"Cuộc phỏng vấn qua email với Jennifer Delton, nhà sử học Cao đẳng Skidmore và tác giả xem xét lại những năm 1950, ngày 27 tháng 10 năm 2014"
"Cuộc phỏng vấn qua email với Stephen Hess, đồng tu cao cấp tại Viện Brookings và trợ lý nhân viên cũ của Tổng thống Dwight Eisenhower, ngày 23 tháng 10 năm 2014"
"Phương tiện truyền thông xã hội meme, nhận bởi PolitiFact ngày 25 tháng 9 năm 2014"
"Tổ chức Hợp tác và Phát triển Kinh tế, biểu đồ lương tối thiểu thực tế, được truy cập ngày 26 tháng 9 năm 2014"
"Đại Tây Dương, ""Mức lương tối thiểu của Hoa Kỳ thực sự ngăn xếp như thế nào"", ngày 2 tháng 9 năm 2013"
"BBC News, ""Đức phê chuẩn mức lương tối thiểu quốc gia đầu tiên,"" ngày 3 tháng 7 năm 2014"
"Service-public.fr, ""Tăng lương tối thiểu (Smic)"" (bản dịch tiếng Anh), Jan. 1, 2014"
"Thanh tra Công bằng Công bằng Úc, ""Mức lương Tối thiểu"", được truy cập vào ngày 26 tháng 9 năm 2014"
"The Conversation blog, ""Doanh nghiệp Úc nhận được một thỏa thuận tốt từ mức lương tối thiểu,"" ngày 10 tháng 6 năm 2014"
"Bộ Ngoại giao Hoa Kỳ, ""Báo cáo Quốc gia về Thực tiễn Nhân quyền cho năm 2013: Đan Mạch"", được truy cập ngày 26 tháng 9 năm 2014"
"Cuộc phỏng vấn qua email với Michael Briggs, người phát ngôn của Thượng nghị sỹ Bernie Sanders, I-Vt., Ngày 26 tháng 9 năm 2014"
"Cuộc phỏng vấn qua email với Gary Burtless, đồng nghiệp cấp cao tại Viện Brookings, ngày 26 tháng 9 năm 2014"
"Facebook, NBA so với NFL meme, tháng 9 18, 2014"
"Capitol Hill Blue, ""Quốc hội: Lớp hình sự của Mỹ"", tháng 8 năm 1999"
"Snopes, ""Congress Mend"", tháng 4 năm 2012"
"FactCheck.org, ""Một Đại hội bất hợp pháp?"" Ngày 22 tháng 4 năm 2009"
"Tìm kiếm hàng quý theo Quốc hội nâng cao, ngày 23 tháng 9 năm 2014"
"Cuộc phỏng vấn qua điện thoại, Steve Clark, phó chủ tịch OSU về quan hệ và tiếp thị đại học, ngày 19 tháng 9 năm 2014."
"Email từ Martha Kanter, giáo sư, Đại học New York Steinhardt, ngày 19 tháng 9 năm 2014."
"OregonLive.com, ""Hầu hết các công việc kích thích trong giáo dục cho đến nay: Đại học bang Oregon,"" bởi Betsy Hammond, ngày 12 tháng 10 năm 2009."
"Snopes.com, ""Family Affair"", ngày 23 tháng 3 năm 2010."
Trang web Quỹ ổn định tài chính nhà nước.
"Tin tức phát hành, ""Tin đồn Internet liên quan đến Craig Robinson sai của OSU, không có căn cứ,"" OSU News & Research Communications, ngày 23 tháng 3 năm 2010."
Đạo luật thu hồi và tái đầu tư của Mỹ năm 2009.
"InfoWars, ""Bộ Ngoại giao Hoa Kỳ đặt hàng 160.000 Bộ quần áo Hazola Ebola"", ngày 15 tháng 9 năm 2014"
"Cuộc phỏng vấn qua email với Matthew Herrick, giám đốc báo chí và người phát ngôn của Cơ quan Phát triển Quốc tế Hoa Kỳ, ngày 17-18 tháng 9 năm 2014"
"MarketWatch, ""Lakeland Industries công bố tình trạng sẵn có toàn cầu của Suits Hazmat cho Ebola,"" ngày 12 tháng 9 năm 2014"
"Reuters, ""Số người chết ở dịch Ebola ở Tây Phi đạt 2,630: WHO,"" ngày 18 tháng 9 năm 2014"
"Lakeland, ""ChemMax 1,"" 2014"
"USAID, ""USAID cam kết nhiều hơn $ 12 triệu tiền hỗ trợ cho phản ứng Ebola Tây Phi,"" ngày 8 tháng 8 năm 2014"
"USAID, ""USAID Airlifts vật tư y tế, thiết bị khẩn cấp cho phản ứng Ebola,"" ngày 25 tháng 8 năm 2014"
"USAID, ""USAID công bố $ 5 triệu trong hỗ trợ bổ sung cho phản ứng Ebola Tây Phi,"" Aug.27, 2014"
"USAID, ""Hoa Kỳ sẽ giúp huy động thêm 100 công nhân y tế châu Phi cho dịch Ebola"", ngày 9 tháng 9 năm 2014"
"Trước Tin tức, ""Đơn đặt hàng của Bộ Ngoại giao Hoa Kỳ 160.000 Bộ quần áo Ebola HAZMAT - Họ biết điều gì mà chúng tôi không biết?"" Ngày 12 tháng 9 năm 2014"
"AllGov, ""Cơ quan Phát triển Quốc tế Hoa Kỳ (USAID),"" 2014"
"Politicalears.com, ""Ba trong số năm tù nhân được đổi chỗ hiện là các nhà lãnh đạo ISIS,"" ngày 15 tháng 9 năm 2014"
"Báo cáo quốc gia, ""Khủng bố trao đổi với Bowe Bergdahl Bây giờ là Tư lệnh ISIS hàng đầu"", ngày 16 tháng 9 năm 2014"
"Atlas Shrugs, ""Treason: GAO cho biết Five Enemy Combatants Obama đổi lấy Bergdahl là một vụ bất hợp pháp,"" ngày 16 tháng 9 năm 2014"
"NBC News, ""Cựu chiến binh Gitmo được tự do di chuyển khắp Qatar: Nguồn"", ngày 3 tháng 6 năm 2014"
"Snopes.com, ""Exchange Berate"", ngày 16 tháng 9 năm 2014"
"Cuộc phỏng vấn qua email với Daveed Gartenstein-Ross, đồng chí cao cấp tại Quỹ Quốc phòng Dân chủ, ngày 17 tháng 9 năm 2014"
"Cuộc phỏng vấn qua email với Barnett R. Rubin, giám đốc và chuyên viên cao cấp tại Trung tâm Hợp tác Quốc tế của Đại học New York, ngày 16 tháng 9 năm 2014"
"Cuộc phỏng vấn qua email với Caitlin Hayden, phát ngôn viên Nhà Trắng, ngày 16 tháng 9 năm 2014"
"Đồ họa Facebook OurTime.org, ngày 11 tháng 9 năm 2014"
"Cuộc phỏng vấn qua email với Jarrett Moreno của OurTime.org, ngày 17 tháng 9 năm 2014"
"Cuộc phỏng vấn qua email và điện thoại với Brian Sullivan, phát ngôn viên của Bộ Phát triển Nhà và Đô thị, ngày 15-16 tháng 9 năm 2014"
"Cuộc phỏng vấn qua điện thoại với Megan Bolton, giám đốc nghiên cứu cho Liên minh nhà ở thu nhập thấp quốc gia, ngày 16 tháng 9 năm 2014"
"Bộ Phát triển nhà ở và đô thị, FY 2014 Giá thuê chợ công bằng cuối cùng cho nhà ở hiện tại, được truy cập vào ngày 16 tháng 9 năm 2014"
"Sở Phát triển Nhà ở và Đô thị, Cho thuê Chợ Công bằng: Tổng quan, truy cập ngày 16 tháng 9 năm 2014"
"Liên minh nhà ở thu nhập thấp quốc gia, ""Out of Reach 2014"", 2014"
"Dwayne Chassion trên Facebook, trạng thái, ngày 29 tháng 7 năm 2014"
"Fox News, ""Hành khách trên điện thoại di động trì hoãn chuyến bay AirTran,"" ngày 18 tháng 11 năm 2009"
"Atlanta 11 Alive, ""Làm cho lực lượng gọi điện thoại di động AirTran bay trở lại nhà ga,"" ngày 18 tháng 11 năm 2009"
"Debbie Schlussel, ""Một cuộc chạy trốn cướp biển của người Hồi giáo khác ?: Nếu đúng, anh hùng mới của Tedd Petruna, UPDATE: CONFIRMED,"" ngày 3 tháng 12 năm 2009"
"Dallas News, ""AirTran trả lời email khủng bố của passegner,"" ngày 4 tháng 12 năm 2009"
"Atlanta Journal-Hiến pháp, ""AirTran"" anh hùng ""không phải trên máy bay, hãng hàng không nói,"" ngày 05 tháng 12 năm 2009"
"Talking Points memo, ""Chuyến bay 297 hành khách, Tedd Petruna là"" Sống trong một thế giới tưởng tượng "","" ngày 8 tháng 12 năm 2009"
"FactCheck.org, ""Điều gì đã xảy ra trên chuyến bay 297,"" ngày 14 tháng 12 năm 2009"
"Chaplain Tiến sĩ Keith A. Robinson, ""Air Tran [sic] Chuyến bay 297 sự cố,"" 2009"
"Cuộc phỏng vấn qua email với Stuart Benjamin, giáo sư luật viễn thông tại Đại học Duke, ngày 8 tháng 9 năm 2014"
"Cuộc phỏng vấn với Jane Akre, nguyên đơn, ngày 8 tháng 9 năm 2014"
"Cuộc phỏng vấn với Alison Steele, luật sư truyền thông, ngày 9 tháng 9 năm 2014"
"Cuộc phỏng vấn qua email với Deni Elliott, giáo sư nghiên cứu truyền thông tại Đại học South Florida, ngày 9 tháng 9 năm 2010"
"Phỏng vấn Thomas McGowan, luật sư truyền thông, ngày 9 tháng 9 năm 2014"
"Cuộc phỏng vấn với Liane Casten, cựu phóng viên cho tờ Chicago Media Watch, ngày 4 tháng 9 năm 2014"
"Cuộc phỏng vấn với Lynn Waddell, phóng viên tự do, ngày 8 tháng 9 năm 2014"
"Dự án bị kiểm duyệt, truyền thông có thể hợp pháp nói dối, mùa xuân 2003"
"Facebook, Fox thừa nhận họ Lie, ngày 7 tháng 2 năm 2014"
"Daily Kos, Fox News thừa nhận họ nói dối và làm méo mó tin tức, vậy tại sao lại quá bực mình ?, ngày 25 tháng 10 năm 2009"
"IMDB, Tổng công ty, 2003"
"FoxBGHSuit, Khiếu nại Akre / Wilson, tháng 3 năm 1998"
"FoxBGHSuit, Fox-TV bảo vệ (NEW WORLD COMMUNICATIONS) Phản hồi khiếu nại, 1998"
"St. Petersburg Times, Phóng viên thắng kiện vì bị bắn, ngày 19 tháng 8 năm 2000"
"FindLaw, TRUYỀN THÔNG THẾ GIỚI MỚI CỦA TAMPA INC WTVT TV v. AKRE, ngày 14 tháng 2 năm 2003"
"Ủy ban truyền thông liên bang, Lập trình phát sóng: Luật và chính sách về các loại lập trình cụ thể, tháng 7 năm 2008"
"Ủy ban Truyền thông Liên bang, Bảo vệ Whistleblower theo Đạo luật Phục hồi, 2009"
"Tòa phúc thẩm Florida, Quận thứ hai, Vụ kiện số 2D01-529, tháng 9 năm 2001"
"Hành tinh hàng tuần, Grazing A Stink, ngày 25 tháng 5 năm 1998"
"Cuộc phỏng vấn qua email với Janeal Yaney, giáo sư khoa học về thịt tại Đại học Arkansas, ngày 28 tháng 8 năm 2014"
"Phỏng vấn Bill Marler, luật sư an toàn thực phẩm và nhà xuất bản Tin tức An toàn Thực phẩm, ngày 28 tháng 8 năm 2014"
"Cuộc phỏng vấn qua email với Eric Mittenhal, người phát ngôn của Viện Thịt Mỹ, ngày 28 tháng 8 năm 2014"
"Cuộc phỏng vấn qua email với Lisa McComb, người phát ngôn của McDonald’s, ngày 2 tháng 9 năm 2014"
"Phỏng vấn Ron Adams, giáo sư tiếp thị tại Đại học Bắc Florida, ngày 2 tháng 9 năm 2014"
"Phỏng vấn Ted LaBuza, giáo sư khoa học thực phẩm tại Đại học Minnesota, ngày 2 tháng 9 năm 2014"
"Phỏng vấn Edward Mills, giáo sư khoa học về thịt tại Đại học bang Penn, ngày 3 tháng 9 năm 2014"
"Youtube, Cuộc cách mạng thực phẩm của Jamie Oliver: Pink Slime - 70% thịt bò của Mỹ được điều trị bằng Amoniac, ngày 12 tháng 4 năm 2011"
"Tin tức ABC, Pink Slime và bạn, ngày 7 tháng 3 năm 2012"
